====================     2021-02-26    ====================8ff694f  Update android binder + ashmem + lowmemorykiller  [kimocoder]
73d2bed  Merge changes  [kimocoder]
8b5d0c3  vme: ca91cx42: fix LM_CTL address mask  [Dmitry Kalinkin]
c33f251  vme: Fix wrong pointer utilization in ca91cx42_slave_get  [Augusto Mecking Caringi]
166bb06  exec: avoid gcc-8 warning for get_task_comm  [Arnd Bergmann]
4da2114  kconfig: Avoid format overflow warning from GCC 8.1  [Nathan Chancellor]
3e4d8ae  staging: speakup: Replace strncpy with memcpy  [Guenter Roeck]
ca7ce032  matroxfb: fix size of memcpy  [Sudip Mukherjee]
ef70b2c  pstore: Convert console write to use ->write_buf  [Namhyung Kim]
f8d2796  ocfs2: fix potential use after free  [Pan Bian]
3660372  debugobjects: avoid recursive calls with kmemleak  [Qian Cai]
f197027  hfsplus: do not free node before using  [Pan Bian]
c15f2fe  hfs: do not free node before using  [Pan Bian]
d540955  ocfs2: fix deadlock caused by ocfs2_defrag_extent()  [Larry Chen]
11981f5  fscache, cachefiles: remove redundant variable 'cache'  [Colin Ian King]
6f9e8f3  fscache: fix race between enablement and dropping of object  [NeilBrown]
e625600  drm/ast: fixed reading monitor EDID not stable issue  [Y.C. Chen]
5e8230e  KVM: x86: fix empty-body warnings  [Yi Wang]
68fe8ef  USB: omap_udc: fix USB gadget functionality on Palm Tungsten E  [Aaro Koskinen]
1da4f85  USB: omap_udc: fix omap_udc_start() on 15xx machines  [Aaro Koskinen]
a6ed89cc  USB: omap_udc: fix crashes on probe error and module removal  [Aaro Koskinen]
ef4f827  USB: omap_udc: use devm_request_irq()  [Aaro Koskinen]
abdab60  exportfs: do not read dentry after free  [Pan Bian]
2d27ce4  ASoC: omap-dmic: Add pm_qos handling to avoid overruns with CPU_IDLE  [Peter Ujfalusi]
72dfcde  ASoC: omap-mcpdm: Add pm_qos handling to avoid under/overruns with CPU_IDLE  [Peter Ujfalusi]
bbb5cf8  Btrfs: send, fix infinite loop due to directory rename dependencies  [Robbie Ko]
d9d5902  hwmon: (w83795) temp4_type has writable permission  [Huacai Chen]
928baea  s390/cpum_cf: Reject request for sampling in event initialization  [Thomas Richter]
69939f8  sysv: return 'err' instead of 0 in __sysv_write_inode  [YueHaibing]
9027eb8  ARM: OMAP1: ams-delta: Fix possible use of uninitialized field  [Janusz Krzysztofik]
ac2e765  ARM: OMAP2+: prm44xx: Fix section annotation on omap44xx_prm_enable_io_wakeup  [Nathan Chancellor]
4a1f38a  ipv6: Check available headroom in ip6_xmit() even without options  [Stefano Brivio]
d627f40  neighbour: Avoid writing before skb->head in neigh_hh_output()  [Stefano Brivio]
9b23406  tun: forbid iface creation with rtnl ops  [Nicolas Dichtel]
92fcba9  rtnetlink: ndo_dflt_fdb_dump() only work for ARPHRD_ETHER devices  [Eric Dumazet]
c358568  net: Prevent invalid access to skb->prev in __qdisc_drop_all  [Christoph Paasch]
11d5662  net: 8139cp: fix a BUG triggered by changing mtu with network traffic  [Su Yanjun]
ef8b89e  Linux 3.18.129  [Greg Kroah-Hartman]
c25ee9f  mac80211: fix reordering of buffered broadcast packets  [Felix Fietkau]
a42edbe  mac80211: Clear beacon_int in ieee80211_do_stop  [Ben Greear]
d4ca109  kgdboc: fix KASAN global-out-of-bounds bug in param_set_kgdboc_var()  [Macpaul Lin]
fb7af8c  Staging: lustre: remove two build warnings  [Greg Kroah-Hartman]
ee75c64  USB: serial: option: add device ID for HP lt2523 (Novatel E371)  [Bjørn Mork]
1cdbc0e  xhci: Prevent U1/U2 link pm states if exit latency is too long  [Mathias Nyman]
411b756  SUNRPC: Fix leak of krb5p encode pages  [Chuck Lever]
352e1d6  ALSA: pcm: Fix interval evaluation with openmin/max  [Takashi Iwai]
82021aa  ALSA: pcm: Call snd_pcm_unlink() conditionally at closing  [Takashi Iwai]
2086785  ALSA: hda: Add support for AMD Stoney Ridge  [Kai-Heng Feng]
08cfe0a  USB: check usb_get_extra_descriptor for proper size  [Mathias Payer]
d348fc8  usb: appledisplay: Add 27" Apple Cinema Display  [Alexander Theissen]
62cac47  usb: quirk: add no-LPM quirk on SanDisk Ultra Flair device  [Harry Pan]
702d980  powerpc/vdso64: Use double word compare on pointers  [Anton Blanchard]
df283393  net: amd: add missing of_node_put()  [Yangtao Li]
1faa7e1  net: faraday: ftmac100: remove netif_running(netdev) check before disabling interrupts  [Vincent Chen]
c99d072  net/mlx4: Fix UBSAN warning of signed integer overflow  [Aya Levin]
99b804d  net/mlx4_core: Zero out lkey field in SW2HW_MPT fw command  [Jack Morgenstein]
3c687e7  can: rcar_can: Fix erroneous registration  [Fabrizio Castro]
53b8cba  iommu/ipmmu-vmsa: Fix crash on early domain free  [Geert Uytterhoeven]
1ef1cf7  usb: gadget: dummy: fix nonsensical comparisons  [Arnd Bergmann]
50b18da  mm: cleancache: fix corruption on missed inode invalidation  [Pavel Tikhomirov]
832da38  Input: xpad - quirk all PDP Xbox One gamepads  [Cameron Gutman]
7710d89  kgdboc: Fix warning with module build  [Laura Abbott]
3ed42a1  kgdboc: Fix restrict error  [Laura Abbott]
292efe4  scsi: csiostor: Avoid content leaks and casts  [Kees Cook]
2b6b3d6  ALSA: trident: Suppress gcc string warning  [Takashi Iwai]
4f2d3b4  scsi: scsi_devinfo: cleanly zero-pad devinfo strings  [Martin Wilck]
277346c  drm/ast: Fix incorrect free on ioregs  [Sam Bobroff]
1dbe8a2  mips: fix mips_get_syscall_arg o32 check  [Dmitry V. Levin]
0926ca5  uprobes: Fix handle_swbp() vs. unregister() + register() race once more  [Andrea Parri]
5aba940  iser: set sector for ambiguous mr status errors  [Sagi Grimberg]
81726ef  kdb: use memmove instead of overlapping memcpy  [Arnd Bergmann]
34892a1  scsi: bfa: convert to strlcpy/strlcat  [Arnd Bergmann]
a0788bd  drm: gma500: fix logic error  [Arnd Bergmann]
39359e7  ip_tunnel: Fix name string concatenate in __ip_tunnel_create()  [Sultan Alsawaf]
fe41c01  kernfs: Replace strncpy with memcpy  [Guenter Roeck]
9776200  unifdef: use memcpy instead of strncpy  [Linus Torvalds]
4f7906b  kobject: Replace strncpy with memcpy  [Guenter Roeck]
1ea0c5c  disable stringop truncation warnings for now  [Stephen Rothwell]
d2e37fb  Kbuild: suppress packed-not-aligned warning for default setting only  [Xiongfeng Wang]
6c98d21  usb: core: quirks: add RESET_RESUME quirk for Cherry G230 Stream series  [Michael Niewöhner]
1f3ca3b  USB: usb-storage: Add new IDs to ums-realtek  [Kai-Heng Feng]
b4c764b  dmaengine: at_hdmac: fix module unloading  [Richard Genoud]
2cfd62f  dmaengine: at_hdmac: fix memory leak in at_dma_xlate()  [Richard Genoud]
ad5c061  ext2: fix potential use after free  [Pan Bian]
a6c49a5  ALSA: sparc: Fix invalid snd_free_pages() at error path  [Takashi Iwai]
9ee01b6  ALSA: ac97: Fix incorrect bit shift at AC97-SPSA control write  [Takashi Iwai]
186722c1  ALSA: wss: Fix invalid snd_free_pages() at error path  [Takashi Iwai]
89d9bdd  usbnet: ipheth: fix potential recvmsg bug and recvmsg bug 2  [Bernd Eckstein]
d220507  s390/qeth: fix length check in SNMP processing  [Julian Wiedmann]
90f288b  rapidio/rionet: do not free skb before reading its length  [Pan Bian]
0fbea13  Revert "wlcore: Add missing PM call for wlcore_cmd_wait_for_event_or_timeout()"  [Sasha Levin]
e4093e6  Linux 3.18.128  [Greg Kroah-Hartman]
05e8301  drm/ast: Remove existing framebuffers before loading driver  [Thomas Zimmermann]
a024e16  af_unix: move unix_mknod() out of bindlock  [WANG Cong]
1a4e53d  tty: wipe buffer if not echoing data  [Greg Kroah-Hartman]
0413ec2  tty: wipe buffer.  [Linus Torvalds]
1cbf2d4  scsi: qla2xxx: do not queue commands when unloading  [Mauricio Faria de Oliveira]
1a6193e  scsi: ufs: fix race between clock gating and devfreq scaling work  [Subhash Jadavani]
35b16a5  scsi: ufshcd: Fix race between clk scaling and ungate work  [Venkat Gopalakrishnan]
5228dae  scsi: ufs: fix bugs related to null pointer access and array size  [Yaniv Gardi]
27749c9  cw1200: Don't leak memory if krealloc failes  [Johannes Thumshirn]
f743afa  Input: xpad - add support for Xbox1 PDP Camo series gamepad  [Ramses Ramírez]
d80c0ce  Input: xpad - fix GPD Win 2 controller name  [Enno Boland]
2ab34e8  Input: xpad - add GPD Win 2 Controller USB IDs  [Ethan Lee]
35f2fdb  Input: xpad - avoid using __set_bit() for capabilities  [Marcus Folkesson]
f7ca5f9  Input: xpad - fix some coding style issues  [Leo Sperling]
293a969  Input: xpad - add PDP device id 0x02a4  [Francis Therien]
6bb4e51  Input: xpad - add support for PDP Xbox One controllers  [Mark Furneaux]
98f7283  Input: xpad - validate USB endpoint type during probe  [Cameron Gutman]
d704f66  Input: xpad - fix PowerA init quirk for some gamepad models  [Cameron Gutman]
cf24117  Input: xpad - constify usb_device_id  [Arvind Yadav]
2c79c5c  Input: xpad - sync supported devices with XBCD  [Benjamin Valentin]
7fb971b  Input: xpad - sync supported devices with 360Controller  [Benjamin Valentin]
0c8091e  Input: xpad - add USB IDs for Mad Catz Brawlstick and Razer Sabertooth  [Benjamin Valentin]
54452aa  Input: xpad - sync supported devices with xboxdrv  [Benjamin Valentin]
b44281a  Input: xpad - sort supported devices by USB ID  [Benjamin Valentin]
a76c92c  Input: xpad - support some quirky Xbox One pads  [Cameron Gutman]
73aac8b  Input: xpad - restore LED state after device resume  [Cameron Gutman]
d93c6c8  Input: xpad - fix stuck mode button on Xbox One S pad  [Cameron Gutman]
e36d201  Input: xpad - don't depend on endpoint order  [Cameron Gutman]
aea0b28  Input: xpad - simplify error condition in init_output  [Pavel Rojtberg]
1d18e7b  Input: xpad - move reporting xbox one home button to common function  [Daniel Tobias]
a47a261  Input: xpad - correctly sort vendor id's  [Daniel Tobias]
94bd646  Input: xpad - use correct product id for x360w controllers  [Pavel Rojtberg]
bf7848a  Input: xpad - fix Xbox One rumble stopping after 2.5 secs  [Cameron Gutman]
50e6d61  Input: xpad - add product ID for Xbox One S pad  [Cameron Gutman]
5fb64c9  Input: xpad - power off wireless 360 controllers on suspend  [Cameron Gutman]
4c3c133  Input: xpad - fix oops when attaching an unknown Xbox One gamepad  [Cameron Gutman]
977a0d3  Input: xpad - fix rumble on Xbox One controllers with 2015 firmware  [Cameron Gutman]
8a59b31  Input: xpad - xbox one elite controller support  [Pavel Rojtberg]
d5010031  Input: xpad - add more third-party controllers  [Pavel Rojtberg]
799bde7  Input: xpad - prevent spurious input from wired Xbox 360 controllers  [Cameron Gutman]
a25726b  Input: xpad - move pending clear to the correct location  [Pavel Rojtberg]
0065a8e  Input: xpad - add Mad Catz FightStick TE 2 VID/PID  [Silvan Jegen]
74341ee  Input: xpad - remove unused function  [Arnd Bergmann]
6d26f3f  Input: xpad - correct xbox one pad device name  [Pavel Rojtberg]
4fc3f74  Input: xpad - use LED API when identifying wireless controllers  [Dmitry Torokhov]
115f8fa  Input: xpad - workaround dead irq_out after suspend/ resume  [Pavel Rojtberg]
57161c3  Input: xpad - update Xbox One Force Feedback Support  [Pierre-Loup A. Griffais]
ac55e1f  Input: xpad - correctly handle concurrent LED and FF requests  [Pavel Rojtberg]
3a60e17  Input: xpad - handle "present" and "gone" correctly  [Pierre-Loup A. Griffais]
61815e6  Input: xpad - remove spurious events of wireless xpad 360 controller  [Clement Calmels]
1a9bc8a  Input: xpad - fix clash of presence handling with LED setting  [Pavel Rojtberg]
92d09397  Input: xpad - query wireless controller state at init  [Pavel Rojtberg]
1222cbf  Input: xpad - move the input device creation to a new function  [Pierre-Loup A. Griffais]
cf01511  Input: xpad - x360w: report dpad as buttons and axes  [Pavel Rojtberg]
edf8893  Input: xpad - factor out URB submission in xpad_play_effect  [Pavel Rojtberg]
6ddae59  Input: xpad - remove needless bulk out URB used for LED setup  [Pavel Rojtberg]
fe514c6  Input: xpad - use ida() for finding the pad_nr  [Pavel Rojtberg]
62d0786  Input: xpad - clarify LED enumeration  [Pavel Rojtberg]
ba447ce  Input: xpad - fix Razer Atrox Arcade Stick button mapping  [Dario Scarpa]
d48f748  Input: xpad - add Covert Forces edition of the Xbox One controller  [Erik Lundgren]
e93bd66  Input: xpad - re-send LED command on present event  [Pavel Rojtberg]
c894132  Input: xpad - set the LEDs properly on XBox Wireless controllers  [Pierre-Loup A. Griffais]
7d593eb  Input: xpad - add rumble support for Xbox One controller  [Ming-ting Yao Wei]
====================     2021-02-23    ====================58eaf7e  Input: initialize device counter variables with -1  [Aniroop Mathur]
b7ccf8c  arm64: remove no-op -p linker flag  [Greg Hackmann]
88c577b  tmpfs: make lseek(SEEK_DATA/SEK_HOLE) return ENXIO with a negative offset  [Yufen Yu]
0a022ed  powerpc/numa: Suppress "VPHN is not supported" messages  [Satheesh Rajendran]
f250496  kdb: Use strscpy with destination buffer size  [Prarit Bhargava]
7a8746f  SUNRPC: Fix a bogus get/put in generic_key_to_expire()  [Trond Myklebust]
d04aa1f4  cpufreq: imx6q: add return value check for voltage scale  [Anson Huang]
274d5f1  can: dev: __can_get_echo_skb(): print error message, if trying to echo non existing skb  [Marc Kleine-Budde]
f5c7d519  can: dev: __can_get_echo_skb(): Don't crash the kernel if can_priv::echo_skb is accessed out of bounds  [Marc Kleine-Budde]
a3c72fb  can: dev: __can_get_echo_skb(): replace struct can_frame by canfd_frame to access frame length  [Marc Kleine-Budde]
13ca23f  can: dev: can_get_echo_skb(): factor out non sending code to __can_get_echo_skb()  [Marc Kleine-Budde]
c3b0ff9  drm/ast: change resolution may cause screen blurred  [Y.C. Chen]
276ac6b  drm/ast: fixed cursor may disappear sometimes  [Y.C. Chen]
05f454e  llc: do not use sk_eat_skb()  [Eric Dumazet]
3d4f693  gfs2: Don't leave s_fs_info pointing to freed memory in init_sbd  [Andrew Price]
9ca876f94  sctp: clear the transport of some out_chunk_list chunks in sctp_assoc_rm_peer  [Xin Long]
ab37108  bfs: add sanity check at bfs_fill_super()  [Tetsuo Handa]
66f813e  v9fs_dir_readdir: fix double-free on p9stat_read error  [Dominique Martinet]
e2cf1f8  usb: core: Fix hub port connection events lost  [Dennis Wassenberg]
d9ded47  Linux 3.18.127  [Greg Kroah-Hartman]
e9072d88  HID: uhid: forbid UHID_CREATE under KERNEL_DS or elevated privileges  [Eric Biggers]
0c4d189  new helper: uaccess_kernel()  [Al Viro]
7562891  ACPI / platform: Add SMB0001 HID to forbidden_id_list  [Hans de Goede]
fbbcacc  USB: misc: appledisplay: add 20" Apple Cinema Display  [Mattias Jacobsson]
9cdcd8c  misc: atmel-ssc: Fix section annotation on atmel_ssc_get_driver_data  [Nathan Chancellor]
2c8aa64  usb: quirks: Add delay-init quirk for Corsair K70 LUX RGB  [Emmanuel Pescosta]
f4ae419  USB: quirks: Add no-lpm quirk for Raydium touchscreens  [Kai-Heng Feng]
9e2d6cb  usb: cdc-acm: add entry for Hiro (Conexant) modem  [Maarten Jacobs]
fc107fb  uio: Fix an Oops on load  [Dan Carpenter]
866da44  media: v4l: event: Add subscription to list before calling "add" operation  [Sakari Ailus]
9e73f7c  Revert "Bluetooth: h5: Fix missing dependency on BT_HCIUART_SERDEV"  [Greg Kroah-Hartman]
2814fb6  SUNRPC: drop pointless static qualifier in xdr_get_next_encode_buffer()  [YueHaibing]
ed889d3  Revert "Revert "drm/i915: Fix mutex->owner inspection race under DEBUG_MUTEXES""  [Sasha Levin]
8512ae0  zram: close udev startup race condition as default groups  [Minchan Kim]
e40125f  lib/raid6: Fix arm64 test build  [Jeremy Linton]
d90c6d0  s390/vdso: add missing FORCE to build targets  [Vasily Gorbik]
f30c6bb  clk: samsung: exynos5420: Enable PERIS clocks for suspend  [Marek Szyprowski]
594c738  fs/exofs: fix potential memory leak in mount option parsing  [Chengguang Xu]
0591a57  um: Give start_idle_thread() a return code  [Richard Weinberger]
b43c6d3  hfsplus: prevent btree data loss on root split  [Ernesto A. Fernández]
cf6c3f65  hfs: prevent btree data loss on root split  [Ernesto A. Fernández]
fe94d7d  reiserfs: propagate errors from fill_with_dentries() properly  [Jann Horn]
ed27dec  net-gro: reset skb->pkt_type in napi_reuse_skb()  [Eric Dumazet]
882d72e  Linux 3.18.126  [Greg Kroah-Hartman]
77a28c8  hugetlbfs: fix kernel BUG at fs/hugetlbfs/inode.c:444!  [Mike Kravetz]
9f3401a  configfs: replace strncpy with memcpy  [Guenter Roeck]
65c9288  fuse: fix leaked notify reply  [Miklos Szeredi]
0abb6cd  sunrpc: correct the computation for page_ptr when truncating  [Frank Sorenson]
be8840f  mount: Prevent MNT_DETACH from disconnecting locked mounts  [Eric W. Biederman]
e86b1cd  mount: Don't allow copying MNT_UNBINDABLE|MNT_LOCKED mounts  [Eric W. Biederman]
a77b251  mount: Retest MNT_LOCKED in do_umount  [Eric W. Biederman]
22c538c  ext4: fix buffer leak in __ext4_read_dirblock() on error path  [Vasily Averin]
5cc1f3e  ext4: fix buffer leak in ext4_xattr_move_to_block() on error path  [Vasily Averin]
cfae9c8  ext4: release bs.bh before re-using in ext4_xattr_block_find()  [Vasily Averin]
fa6b097  ext4: fix possible leak of sbi->s_group_desc_leak in error path  [Theodore Ts'o]
9ad2117  ext4: avoid possible double brelse() in add_new_gdb() on error path  [Theodore Ts'o]
189d08d  ext4: fix missing cleanup if ext4_alloc_flex_bg_array() fails while resizing  [Vasily Averin]
320e3c4  ext4: avoid buffer leak in ext4_orphan_add() after prior errors  [Vasily Averin]
f00cb4a  ext4: fix possible inode leak in the retry loop of ext4_resize_fs()  [Vasily Averin]
8dae9cc  ext4: avoid potential extra brelse in setup_new_flex_group_blocks()  [Vasily Averin]
a18d67b  ext4: add missing brelse() add_new_gdb_meta_bg()'s error path  [Vasily Averin]
21778a6  ext4: add missing brelse() in set_flexbg_block_bitmap()'s error path  [Vasily Averin]
16245f8  ext4: add missing brelse() update_backups()'s error path  [Vasily Averin]
8465eb5  arch/alpha, termios: implement BOTHER, IBSHIFT and termios2  [H. Peter Anvin (Intel)]
32b22c3  termios, tty/tty_baudrate.c: fix buffer overrun  [H. Peter Anvin]
b513e9f  mtd: docg3: don't set conflicting BCH_CONST_PARAMS option  [Arnd Bergmann]
5749183  ocfs2: fix a misuse a of brelse after failing ocfs2_check_dir_entry  [Changwei Ge]
71c7c8d  mach64: fix image corruption due to reading accelerator registers  [Mikulas Patocka]
1c63f38  mach64: fix display corruption on big endian machines  [Mikulas Patocka]
8e97db7  libceph: bump CEPH_MSG_MAX_DATA_LEN  [Ilya Dryomov]
7aba788  xtensa: fix boot parameters address translation  [Max Filippov]
cf4f872  cdrom: fix improper type cast, which can leat to information leak.  [Young_X]
34f465a  9p: clear dangling pointers in p9stat_free  [Dominique Martinet]
749f225  media: tvp5150: fix width alignment during set_selection()  [Marco Felsch]
897193f  powerpc/boot: Ensure _zimage_start is a weak symbol  [Joel Stanley]
e9c416f  MIPS: kexec: Mark CPU offline before disabling local IRQ  [Dengcheng Zhu]
94929fc  media: pci: cx23885: handle adding to list failure  [Nicholas Mc Guire]
f9d7400  drm/omap: fix memory barrier bug in DMM driver  [Tomi Valkeinen]
a421616  powerpc/nohash: fix undefined behaviour when testing page size support  [Daniel Axtens]
2cf5d1a0  tty: check name length in tty_find_polling_driver()  [Miles Chen]
6ac6c94  dm: remove duplicate dm_get_live_table() in __dm_destroy()  [Corey Wright]
09cf472  Cramfs: fix abad comparison when wrap-arounds occur  [Nicolas Pitre]
bf595f5  media: em28xx: make v4l2-compliance happier by starting sequence on zero  [Mauro Carvalho Chehab]
74e82f7  media: em28xx: fix input name for Terratec AV 350  [Mauro Carvalho Chehab]
5f04b8e  media: em28xx: use a default format if TRY_FMT fails  [Mauro Carvalho Chehab]
6de2314  kgdboc: Passing ekgdboc to command line causes panic  [He Zhe]
6282405  TC: Set DMA masks for devices  [Maciej W. Rozycki]
e9e5642  dm ioctl: harden copy_params()'s copy_from_user() from malicious users  [Wenwen Wang]
5cdc760  lockd: fix access beyond unterminated strings in prints  [Amir Goldstein]
138ed4c  nfsd: Fix an Oops in free_session()  [Trond Myklebust]
932faed  NFSv4.1: Fix the r/wsize checking  [Trond Myklebust]
b5c1e8d  printk: Fix panic caused by passing log_buf_len to command line  [He Zhe]
ee267c1  smb3: on kerberos mount if server doesn't specify auth type use krb5  [Steve French]
edd714b  smb3: do not attempt cifs operation in smb3 query info error path  [Steve French]
4ef4cf3  smb3: allow stats which track session and share reconnects to be reset  [Steve French]
7a2c74e  w1: omap-hdq: fix missing bus unregister at removal  [Andreas Kemnade]
51a3d367  iio: adc: at91: fix wrong channel number in triggered buffer mode  [Eugen Hristev]
8389b6b  iio: adc: at91: fix acking DRDY irq on simple conversions  [Eugen Hristev]
3e429799  kbuild: fix kernel/bounds.c 'W=1' warning  [Arnd Bergmann]
e7b50c6  ima: fix showing large 'violations' or 'runtime_measurements_count'  [Eric Biggers]
3880fe5  crypto: lrw - Fix out-of bounds access on counter overflow  [Ondrej Mosnacek]
d0091c3  signal/GenWQE: Fix sending of SIGKILL  [Eric W. Biederman]
940e55d  ext4: initialize retries variable in ext4_da_write_inline_data_begin()  [Lukas Czerner]
ce8734d  gfs2_meta: ->mount() can get NULL dev_name  [Al Viro]
35df41c  jbd2: fix use after free in jbd2_log_do_checkpoint()  [Jan Kara]
cbd6a1d  net/ipv4: defensive cipso option parsing  [Stefan Nuernberger]
26aa77c  signal: Always deliver the kernel's SIGKILL and SIGSTOP to a pid namespace init  [Eric W. Biederman]
e97a9b6  scsi: lpfc: Correct soft lockup when running mds diagnostics  [James Smart]
49854a1  uio: ensure class is registered before devices  [Alexandre Belloni]
f51a206  usb: chipidea: Prevent unbalanced IRQ disable  [Loic Poulain]
61e559a  ext4: fix argument checking in EXT4_IOC_MOVE_EXT  [Theodore Ts'o]
bfc8f5b2  scsi: esp_scsi: Track residual for PIO transfers  [Finn Thain]
6de2c37  ath10k: schedule hardware restart if WMI command times out  [Martin Willi]
bfccb18  kprobes: Return error if we fail to reuse kprobe instead of BUG_ON()  [Masami Hiramatsu]
4e407bd  x86: boot: Fix EFI stub alignment  [Ben Hutchings]
ae407b1  mmc: sdhci-pci-o2micro: Add quirk for O2 Micro dev 0x8620 rev 0x01  [Yu Zhao]
f558687  perf tools: Cleanup trace-event-info 'tdata' leak  [Sanskriti Sharma]
0adf40b  perf tools: Free temporary 'sys' string in read_event_files()  [Sanskriti Sharma]
ece706b  tun: Consistently configure generic netdev params via rtnetlink  [Serhey Popovych]
ad05506  swim: fix cleanup on setup error  [Omar Sandoval]
baf4864  ataflop: fix error handling during setup  [Omar Sandoval]
e16c180  locking/lockdep: Fix debug_locks off performance problem  [Waiman Long]
809fc20  selftests: ftrace: Add synthetic event syntax testcase  [Masami Hiramatsu]
aecb521  net: qla3xxx: Remove overflowing shift statement  [Nathan Chancellor]
f2d8b89  sparc: Throttle perf events properly.  [David S. Miller]
5a926c9  sparc: Fix single-pcr perf event counter management.  [David S. Miller]
8b0c96f  x86/corruption-check: Fix panic in memory_corruption_check() when boot option without value is provided  [He Zhe]
94b75ec  ALSA: ca0106: Disable IZD on SB0570 DAC to fix audio pops  [Alex Stanoev]
580314d  pcmcia: Implement CLKRUN protocol disabling for Ricoh bridges  [Maciej S. Szmigiero]
988a0ad  jffs2: free jffs2_sb_info through jffs2_kill_sb()  [Hou Tao]
c4f3a7c  bcache: fix miss key refill->end in writeback  [Tang Junhui]
9cf1fe0  Linux 3.18.125  [Greg Kroah-Hartman]
5490736  sched/fair: Fix throttle_list starvation with low CFS quota  [Phil Auld]
8e1d89e  USB: fix the usbfs flag sanitization for control transfers  [Alan Stern]
ba62dca  cdc-acm: correct counting of UART states in serial state notification  [Tobias Herzog]
3fca914  cachefiles: fix the race between cachefiles_bury_object() and rmdir(2)  [Al Viro]
ad80a5f  net: sched: gred: pass the right attribute to gred_change_table_def()  [Jakub Kicinski]
dfd5984  rtnetlink: Disallow FDB configuration for non-Ethernet device  [Ido Schimmel]
67781ad  net: drop skb on failure in ip_check_defrag()  [Cong Wang]
65328c7  sctp: fix race on sctp_id2asoc  [Marcelo Ricardo Leitner]
b9f59e3  r8169: fix NAPI handling under high load  [Heiner Kallweit]
fa21043  net: stmmac: Fix stmmac_mdio_reset() when building stmmac as modules  [Niklas Cassel]
9ff25ce  net: socket: fix a missing-check bug  [Wenwen Wang]
5522fef  net/ipv6: Fix index counter for unicast addresses in in6_dump_addrs  [David Ahern]
33fbba6  ipv6/ndisc: Preserve IPv6 control buffer if protocol error handlers are called  [Stefano Brivio]
827a2a4  ipv6: mcast: fix a use-after-free in inet6_mc_check  [Eric Dumazet]
7a33ed9  mremap: properly flush TLB before releasing the page  [Linus Torvalds]
b626d8f  /proc/iomem: only expose physical resource addresses to privileged users  [Linus Torvalds]
306a5d5  perf tools: Disable parallelism for 'make clean'  [Rasmus Villemoes]
b47ce61  fs/fat/fatent.c: add cond_resched() to fat_count_free_clusters()  [Khazhismel Kumykov]
659fcec  unix: correctly track in-flight fds in sending process user_struct  [Hannes Frederic Sowa]
f3566e5  x86/PCI: Mark Broadwell-EP Home Agent 1 as having non-compliant BARs  [Prarit Bhargava]
a1b8cb7  net: fix warnings in 'make htmldocs' by moving macro definition out of field declaration  [Hannes Frederic Sowa]
6c03d33  USB: hub: fix up early-exit pathway in hub_activate  [Alan Stern]
19ca82d  KEYS: put keyring if install_session_keyring_to_cred() fails  [Eric Biggers]
295ced7  igb: fix NULL derefs due to skipped SR-IOV enabling  [Jan Beulich]
0093c08  ovl: fix open in stacked overlay  [Miklos Szeredi]
364dc6f  iwlwifi: pcie: correctly define 7265-D cfg  [Arik Nemtsov]
f5a6c6a  sctp: translate network order to host order when users get a hmacid  [Xin Long]
d148d23  vfs: Make sendfile(2) killable even better  [Jan Kara]
9586d92  PCI: Fix devfn for VPD access through function 0  [Alex Williamson]
469ecb0  x86/ldt: Fix small LDT allocation for Xen  [Jan Beulich]
8095435  Revert "SCSI: Fix NULL pointer dereference in runtime PM"  [Ken Xue]
59e4c87  mm: migrate: hugetlb: putback destination hugepage to active list  [Naoya Horiguchi]
3c705d5  perf: Fix PERF_EVENT_IOC_PERIOD deadlock  [Peter Zijlstra]
62784ec  libata: blacklist Micron 500IT SSD with MU01 firmware  [Sudip Mukherjee]
bbddc4a  igb: Unpair the queues when changing the number of queues  [Shota Suzuki]
3891dce  Btrfs: do not ignore errors from btrfs_lookup_xattr in do_setxattr  [Filipe Manana]
522440d  tty: audit: Fix audit source  [Peter Hurley]
6fd0fa4  ALSA: usb-audio: Add a more accurate volume quirk for AudioQuest DragonFly  [Anssi Hannula]
e57e553  ALSA: hda - Add headset mic support for Acer Aspire V5-573G  [Mateusz Sylwestrzak]
dabbc93b  rtlwifi: rtl8821ae: Fix lockups on boot  [Larry Finger]
ff96a6d  rtlwifi: rtl8821ae: Fix system lockups on boot  [Larry Finger]
252fd4e  selftests: Introduce a new script to generate tc batch file  [Chris Mi]
6a9300c  mtd: blkdevs: fix potential deadlock + lockdep warnings  [Brian Norris]
f04afafb  ASoC: dapm: Don't add prefix to widget stream name  [Lars-Peter Clausen]
8a05030  lib: make memzero_explicit more robust against dead store elimination  [Daniel Borkmann]
15e1f2f  dm9000: Fix irq trigger type setup on non-dt platforms  [Sylwester Nawrocki]
5effb6d  MIPS: Fix up obsolete cpu_set usage  [Ezequiel Garcia]
fda53b5  perf bench numa: Fix to show proper convergence stats  [Srikar Dronamraju]
9e92ce2  net: ethernet: davicom: fix devicetree irq resource  [Robert Jarzmik]
c239ace  ext4: fix an ext3 collapse range regression in xfstests  [Theodore Ts'o]
39dfe6e  x86/idle: Restore trace_cpu_idle to mwait_idle() calls  [Jisheng Zhang]
d54d33b  tty: serial: fsl_lpuart: fix clearing of receive flag  [Stefan Agner]
d2a1a18  iommu/vt-d: Fix VM domain ID leak  [Alex Williamson]
